timestamp,node_directory_size_bytes,scrape_duration_seconds,scrape_samples_post_metric_relabeling,scrape_samples_scraped,scrape_series_added,up
2025-05-18T01:56:43,314576896,0.000752597,28,28,0,1
2025-05-18T01:57:13,314576896,0.000654655,28,28,0,1
2025-05-18T01:57:43,314576896,0.000706817,28,28,0,1
2025-05-18T01:58:13,314576896,0.000601532,28,28,0,1
2025-05-18T01:58:43,314576896,0.000669623,28,28,0,1
2025-05-18T01:59:13,314576896,0.000778521,28,28,0,1
2025-05-18T01:59:43,314576896,0.00055982,28,28,0,1
2025-05-18T02:00:13,314576896,0.001283821,28,28,0,1
2025-05-18T02:00:43,314576896,0.000711875,28,28,0,1
2025-05-18T02:01:13,314576896,0.000601522,28,28,0,1
2025-05-18T02:01:43,314576896,0.000531349,28,28,0,1
2025-05-18T02:02:13,314576896,0.000652543,28,28,0,1
2025-05-18T02:02:43,314576896,0.000765043,28,28,0,1
2025-05-18T02:03:13,314576896,0.000538449,28,28,0,1
2025-05-18T02:03:43,314576896,0.000565612,28,28,0,1
2025-05-18T02:04:13,314576896,0.000654234,28,28,0,1
2025-05-18T02:04:43,314576896,0.000680523,28,28,0,1
2025-05-18T02:05:13,314576896,0.000576238,28,28,0,1
2025-05-18T02:05:43,314576896,0.000584679,28,28,0,1
2025-05-18T02:06:13,314576896,0.000736994,28,28,0,1
2025-05-18T02:06:43,314576896,0.000677855,28,28,0,1
2025-05-18T02:07:13,314576896,0.000734861,28,28,0,1
2025-05-18T02:07:43,314576896,0.000692853,28,28,0,1
2025-05-18T02:08:13,314576896,0.000779077,28,28,0,1
2025-05-18T02:08:43,314576896,0.000606091,28,28,0,1
2025-05-18T02:09:13,314576896,0.000622183,28,28,0,1
2025-05-18T02:09:43,314576896,0.000599293,28,28,0,1
2025-05-18T02:10:13,314576896,0.000642437,28,28,0,1
2025-05-18T02:10:43,314576896,0.000675244,28,28,0,1
2025-05-18T02:11:13,314576896,0.000641059,28,28,0,1
2025-05-18T02:11:43,314576896,0.000691145,28,28,0,1
2025-05-18T02:12:13,314576896,0.000753609,28,28,0,1
2025-05-18T02:12:43,314576896,0.000655819,28,28,0,1
2025-05-18T02:13:13,314576896,0.000774578,28,28,0,1
2025-05-18T02:13:43,314576896,0.000820457,28,28,0,1
2025-05-18T02:14:13,314576896,0.000577395,28,28,0,1
2025-05-18T02:14:43,314576896,0.000679032,28,28,0,1
2025-05-18T02:15:13,314576896,0.000726185,28,28,0,1
2025-05-18T02:15:43,314576896,0.000606139,28,28,0,1
2025-05-18T02:16:13,314576896,0.000627331,28,28,0,1
2025-05-18T02:16:43,314576896,0.000639505,28,28,0,1
2025-05-18T02:17:13,314576896,0.000766853,28,28,0,1
2025-05-18T02:17:43,314576896,0.000577994,28,28,0,1
2025-05-18T02:18:13,314576896,0.000539881,28,28,0,1
2025-05-18T02:18:43,314576896,0.000615258,28,28,0,1
2025-05-18T02:19:13,314576896,0.000591331,28,28,0,1
2025-05-18T02:19:43,314576896,0.000609151,28,28,0,1
2025-05-18T02:20:13,314576896,0.000670564,28,28,0,1
2025-05-18T02:20:43,314576896,0.001071114,28,28,0,1
2025-05-18T02:21:13,314576896,0.000696506,28,28,0,1
2025-05-18T02:21:43,314576896,0.000610779,28,28,0,1
2025-05-18T02:22:13,314576896,0.000728926,28,28,0,1
2025-05-18T02:22:43,314576896,0.000566323,28,28,0,1
2025-05-18T02:23:13,314576896,0.000651758,28,28,0,1
2025-05-18T02:23:43,314576896,0.000636208,28,28,0,1
2025-05-18T02:24:13,314576896,0.000668983,28,28,0,1
2025-05-18T02:24:43,314576896,0.000691267,28,28,0,1
2025-05-18T02:25:13,314576896,0.000640367,28,28,0,1
2025-05-18T02:25:43,314576896,0.000562986,28,28,0,1
2025-05-18T02:26:13,314576896,0.00061403,28,28,0,1
2025-05-18T02:26:43,314576896,0.000653913,28,28,0,1
2025-05-18T02:27:13,314576896,0.000661618,28,28,0,1
2025-05-18T02:27:43,314576896,0.000770306,28,28,0,1
2025-05-18T02:28:13,314576896,0.000738885,28,28,0,1
2025-05-18T02:28:43,314576896,0.000725481,28,28,0,1
2025-05-18T02:29:13,314576896,0.000686496,28,28,0,1
2025-05-18T02:29:43,314576896,0.000651662,28,28,0,1
2025-05-18T02:30:13,314576896,0.000664846,28,28,0,1
2025-05-18T02:30:43,314576896,0.00070393,28,28,0,1
2025-05-18T02:31:13,314576896,0.000540021,28,28,0,1
2025-05-18T02:31:43,314576896,0.000697216,28,28,0,1
2025-05-18T02:32:13,314576896,0.000625597,28,28,0,1
2025-05-18T02:32:43,314576896,0.002686847,28,28,0,1
2025-05-18T02:33:13,314576896,0.000628793,28,28,0,1
