timestamp,cadvisor_version_info,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_cfs_throttled_seconds_total,container_cpu_load_average_10s,container_cpu_load_d_average_10s,container_cpu_system_seconds_total,container_cpu_usage_seconds_total,container_cpu_user_seconds_total,container_file_descriptors,container_fs_inodes_free,container_fs_inodes_total,container_fs_io_current,container_fs_io_time_seconds_total,container_fs_io_time_weighted_seconds_total,container_fs_limit_bytes,container_fs_read_seconds_total,container_fs_reads_merged_total,container_fs_reads_total,container_fs_sector_reads_total,container_fs_sector_writes_total,container_fs_usage_bytes,container_fs_write_seconds_total,container_fs_writes_merged_total,container_fs_writes_total,container_last_seen,container_memory_cache,container_memory_failcnt,container_memory_failures_total,container_memory_kernel_usage,container_memory_mapped_file,container_memory_max_usage_bytes,container_memory_rss,container_memory_swap,container_memory_total_active_file_bytes,container_memory_total_inactive_file_bytes,container_memory_usage_bytes,container_memory_working_set_bytes,container_network_receive_bytes_total,container_network_receive_errors_total,container_network_receive_packets_dropped_total,container_network_receive_packets_total,container_network_transmit_bytes_total,container_network_transmit_errors_total,container_network_transmit_packets_dropped_total,container_network_transmit_packets_total,container_oom_events_total,container_processes,container_scrape_error,container_sockets,container_spec_cpu_period,container_spec_cpu_quota,container_spec_cpu_shares,container_spec_memory_limit_bytes,container_spec_memory_reservation_limit_bytes,container_spec_memory_swap_limit_bytes,container_start_time_seconds,container_tasks_state,container_threads,container_threads_max,container_ulimits_soft,machine_cpu_cores,machine_cpu_physical_cores,machine_cpu_sockets,machine_memory_bytes,machine_nvm_avg_power_budget_watts,machine_nvm_capacity,machine_scrape_error,machine_swap_bytes,scrape_duration_seconds,scrape_samples_post_metric_relabeling,scrape_samples_scraped,scrape_series_added,up
2025-05-18T02:01:13,1,4118,163,94.1346654,0,0,65.38,485.4336715,291.17,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533663,2015150080,0,101772,220631040,888950784,5830406144,3346145280,28672,445632512,1566449664,5700685824,4134236160,2173755,0,0,5765,5470481,0,0,5443,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.064834759,3605,3605,0,1
2025-05-18T02:01:43,1,4420,163,94.1346654,0,0,68.99,499.2054281,300.24,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533693,2017218560,0,101772,235196416,889655296,5830406144,3312959488,28672,449044480,1565118464,5716439040,4151320576,2694846,0,0,7952,6213536,0,0,8303,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.063252086,3605,3605,0,1
2025-05-18T02:02:13,1,4721,163,94.1346654,0,0,71.94,507.1927665,306.55,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533723,2017673216,0,101772,235347968,889696256,5830406144,3325374464,28672,449159168,1565532160,5729312768,4163780608,3040537,0,0,8764,6718849,0,0,9119,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.063501816,3605,3605,0,1
2025-05-18T02:02:43,1,5023,163,94.1346654,0,0,74.56,514.8323336,311.57,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533753,2018156544,0,101772,235536384,889761792,5830406144,3336605696,28672,449257472,1565982720,5743964160,4177981440,3390730,0,0,9624,7234895,0,0,9989,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.065621726,3605,3605,0,1
2025-05-18T02:03:13,1,5324,164,94.2861465,0,0,78.25,527.3358269,318.54,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533783,1999806464,0,101772,222203904,890015744,5830406144,3325784064,102400,448806912,1548095488,5710688256,4162592768,4900993,0,0,16540,8691025,0,0,19936,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.063688584,3605,3605,0,1
2025-05-18T02:03:43,1,5626,164,94.2861465,0,0,80.25,534.9558195,322.66,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533813,2000302080,0,101772,222380032,890019840,5830406144,3328131072,102400,448974848,1548423168,5707472896,4159049728,5258508,0,0,17395,9225078,0,0,20802,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.062421225,3605,3605,0,1
2025-05-18T02:04:13,1,5927,164,94.2861465,0,0,82.64,542.6607976,327.06,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533843,2000764928,0,101772,222199808,890019840,5830406144,3330945024,102400,449085440,1548775424,5716668416,4167892992,5604661,0,0,18216,9738535,0,0,21627,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.069257287,3605,3605,0,1
2025-05-18T02:04:43,1,6228,164,94.2861465,0,0,85.93,554.779931,334.74,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533873,1979129856,0,101772,222121984,889868288,5830406144,3335446528,102400,457158656,1519067136,5708382208,4189315072,7117210,0,0,25140,11203495,0,0,31586,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.060493205,3605,3605,0,1
2025-05-18T02:05:13,1,6530,164,94.2861465,0,0,88.48,562.4345837,338.87,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533903,1979670528,0,101772,222216192,889868288,5830406144,3341197312,102400,457281536,1519468544,5720076288,4200607744,7465922,0,0,25983,11833803,0,0,32440,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.063830103,3605,3605,0,1
2025-05-18T02:05:43,1,6831,164,94.2861465,0,0,90.77,569.8813417,343.19,40,867711,867882,0,0,0,67108864,0,0,0,0,0,0,0,0,0,1747533933,1980203008,0,101772,222134272,889937920,5830406144,3343556608,102400,457379840,1519890432,5718626304,4198735872,7813327,0,0,26811,12352686,0,0,33276,0,1,0,21,100000,400000,1024,7109693440,0,2147483648,1747532879,0,0,0,1048576,16,8,1,7109693440,0,0,0,2147483648,0.064823949,3605,3605,0,1
