timestamp,timestamp,ops,success_rate,duration,cpu,memory,receive,transmit
2025-05-28T15:27:36,5571,4,100.0,5550000,2.24,31191040,18581003,30044657
2025-05-28T15:27:37,5571,4,100.0,5550000,2.24,31191040,18581003,30044657
2025-05-28T15:27:38,5571,4,100.0,5550000,2.24,31191040,18581003,30044657
2025-05-28T15:27:39,5571,4,100.0,5550000,2.24,31191040,18581003,30044657
2025-05-28T15:27:40,5571,4,100.0,5550000,2.24,31191040,18581003,30044657
2025-05-28T15:27:41,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:42,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:43,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:44,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:45,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:46,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:47,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:48,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:49,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:50,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:51,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:52,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:53,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:54,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:55,5586,4,100.0,5550000,2.24,31191040,18650967,30159748
2025-05-28T15:27:56,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:27:57,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:27:58,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:27:59,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:00,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:01,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:02,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:03,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:04,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:05,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:06,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:07,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:08,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:09,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:10,5601,4,100.0,5550000,2.25,31191040,18721022,30274928
2025-05-28T15:28:11,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:12,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:13,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:14,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:15,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:16,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:17,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:18,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:19,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:20,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:21,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:22,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:23,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:24,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:25,5616,4,100.0,5550000,2.25,31191040,18790934,30389966
2025-05-28T15:28:26,5631,4,100.0,5550000,2.26,31191040,18861028,30505187
2025-05-28T15:28:27,5631,4,100.0,5550000,2.26,31191040,18861028,30505187
2025-05-28T15:28:28,5631,4,100.0,5550000,2.26,31191040,18861028,30505187
2025-05-28T15:28:29,5631,4,100.0,5550000,2.26,31191040,18861028,30505187
2025-05-28T15:28:30,5631,4,100.0,5550000,2.26,31191040,18861028,30505187
2025-05-28T15:28:31,5631,4,100.0,5550000,2.26,31191040,18861028,30505187
2025-05-28T15:28:32,5631,4,100.0,5550000,2.26,31191040,18861028,30505187
2025-05-28T15:28:33,5631,4,100.0,5550000,2.26,31191040,18861028,30505187
2025-05-28T15:28:34,5631,4,100.0,5550000,2.26,31191040,18861028,30505187
