timestamp,ops,success_rate,duration,cpu,memory,receive,transmit
2025-06-03T01:48:58Z,1,100.0,0,0.38,38166528,1292933,1679129
2025-06-03T01:49:03Z,1,100.0,0,0.38,38166528,1292933,1679129
2025-06-03T01:49:08Z,1,100.0,0,0.38,38166528,1292933,1679129
2025-06-03T01:49:13Z,1,100.0,0,0.39,38166528,1529465,2061564
2025-06-03T01:49:18Z,1,100.0,0,0.39,38166528,1529465,2061564
2025-06-03T01:49:23Z,1,100.0,0,0.39,38166528,1529465,2061564
2025-06-03T01:49:28Z,1,100.0,0,0.4,38166528,1765720,2443734
2025-06-03T01:49:33Z,1,100.0,0,0.4,38166528,1765720,2443734
2025-06-03T01:49:38Z,1,100.0,0,0.4,38166528,1765720,2443734
2025-06-03T01:49:43Z,1,100.0,0,0.41,38072320,2002158,2826061
2025-06-03T01:49:48Z,1,100.0,0,0.41,38072320,2002158,2826061
2025-06-03T01:49:53Z,1,100.0,0,0.41,38072320,2002158,2826061
2025-06-03T01:49:58Z,1,100.0,0,0.41,38072320,2238418,3208288
2025-06-03T01:50:03Z,1,100.0,0,0.41,38072320,2238418,3208288
2025-06-03T01:50:08Z,1,91.66666666666666,0,0.41,38072320,2238418,3208288
2025-06-03T01:50:13Z,1,75.0,0,0.34,38572032,419669,842402
2025-06-03T01:50:18Z,1,75.0,0,0.34,38572032,419669,842402
2025-06-03T01:50:23Z,1,100.0,0,0.34,38572032,419669,842402
2025-06-03T01:50:28Z,1,100.0,0,0.36,38572032,584633,1171951
2025-06-03T01:50:33Z,1,100.0,0,0.36,38572032,584633,1171951
2025-06-03T01:50:38Z,1,100.0,0,0.36,38572032,584633,1171951
2025-06-03T01:50:43Z,1,100.0,0,0.39,38572032,1133921,1748639
2025-06-03T01:50:48Z,1,100.0,0,0.39,38572032,1133921,1748639
2025-06-03T01:50:53Z,1,100.0,0,0.39,38572032,1133921,1748639
2025-06-03T01:50:58Z,1,100.0,0,0.39,38572032,1370109,2130767
2025-06-03T01:51:03Z,1,100.0,0,0.39,38572032,1370109,2130767
2025-06-03T01:51:08Z,1,100.0,0,0.39,38572032,1370109,2130767
2025-06-03T01:51:13Z,1,100.0,0,0.4,38572032,1606594,2513158
2025-06-03T01:51:18Z,1,100.0,0,0.4,38572032,1606594,2513158
2025-06-03T01:51:23Z,1,100.0,0,0.4,38572032,1606594,2513158
2025-06-03T01:51:28Z,1,100.0,0,0.41,38572032,1842917,2895406
2025-06-03T01:51:33Z,1,100.0,0,0.41,38572032,1842917,2895406
2025-06-03T01:51:38Z,1,100.0,0,0.41,38572032,1842917,2895406
2025-06-03T01:51:43Z,1,100.0,0,0.42,37908480,2079513,3277982
2025-06-03T01:51:48Z,1,100.0,0,0.42,37908480,2079513,3277982
2025-06-03T01:51:53Z,1,100.0,0,0.42,37908480,2079513,3277982
2025-06-03T01:51:58Z,1,100.0,0,0.43,37851136,2315672,3660083
